Pos,Num,Player Name,Status,REC,YDS,AVG,TDS,Team
TE,46,"Wallace, Eric",ACT,--,--,--,--,CAR
TE,84,"Waller, Darren",SUS,10,85,8.5,2,BAL
TE,82,"Watson, Benjamin",ACT,--,--,--,--,BAL
TE,81,"Westbrook, Tevin",ACT,--,--,--,--,TB
TE,89,"Wick, Cole",ACT,2,18,9,0,DET
TE,85,"Williams, Brandon",ACT,2,36,18,0,IND
TE,87,"Williams, Maxx",ACT,--,--,--,--,BAL
TE,85,"Williams, Michael",UFA,--,--,--,--,NE
TE,82,"Willson, Luke",ACT,15,129,8.6,2,SEA
TE,87,"Wilson, Travis",ACT,--,--,--,--,LA
TE,82,"Witten, Jason",ACT,69,673,9.8,3,DAL
TE,83,"Wright, Timothy",UFA,--,--,--,--,DET
TE,82,"Wroblewski, Steven",ACT,--,--,--,--,ARI
