Pos,Num,Player Name,Status,Quick Stats,TCKL,SCK,FF,INT,Team
ILB,59,"Vigil, Nick",ACT,TCKL,21,0,0,--,CIN
OLB,59,"Vigil, Zach",ACT,TCKL,2,0,0,0,WAS
LB,44,"Wacha, Lucas",ACT,TCKL,--,--,--,--,DAL
MLB,54,"Wagner, Bobby",ACT,TCKL,167,4.5,0,1,SEA
OLB,93,"Walden, Erik",UFA,TCKL,42,11,3,--,IND
LB,50,"Walker, Anthony",ACT,TCKL,--,--,--,--,IND
ILB,59,"Walker, Joe",ACT,TCKL,--,--,--,--,PHI
OLB,52,"Wallace, Aaron",ACT,TCKL,14,1,0,--,TEN
LB,58,"Washington, Daryl",UFA,TCKL,--,--,--,--,ARI
LB,57,"Washington, Shaan",ACT,TCKL,--,--,--,--,MIN
OLB,49,"Washington, Tony",ACT,TCKL,--,--,--,--,HOU
LB,97,"Watson, Dekoda",ACT,TCKL,17,1,1,--,SF
LB,90,"Watt, T.J.",ACT,TCKL,--,--,--,--,PIT
LB,58,"Watts, Brandon",ACT,TCKL,--,--,--,--,MIA
OLB,56,"Weatherspoon, Sean",UFA,TCKL,27,0,0,--,ATL
OLB,41,"Wheeler, Philip",UFA,TCKL,28,0,0,--,ATL
MLB,59,"Whitehead, Tahir",ACT,TCKL,132,0,0,--,DET
OLB,51,"Wilber, Kyle",ACT,TCKL,9,0,1,--,DAL
LB,52,"Wilhoite, Michael",ACT,TCKL,55,0.5,1,--,SEA
LB,50,"Williams, Avery",ACT,TCKL,--,--,--,--,HOU
OLB,52,"Williams, Antwione",ACT,TCKL,27,0,0,--,DET
OLB,56,"Williams, Tim",ACT,TCKL,--,--,--,--,BAL
LB,,"Williams, Tourek",UFA,TCKL,14,1,0,--,KC
ILB,98,"Williams, Vince",ACT,TCKL,47,2,0,--,PIT
ILB,54,"Williamson, Avery",ACT,TCKL,104,2,1,1,TEN
OLB,57,"Wilson, Damien",ACT,TCKL,34,0.5,0,--,DAL
LB,50,"Wilson, Eric",ACT,TCKL,--,--,--,--,MIN
ILB,53,"Wilson, Ramik",ACT,TCKL,76,0,1,1,KC
LB,56,"Woodson-Luster, Xavier",ACT,TCKL,--,--,--,--,OAK
ILB,59,"Woodyard, Wesley",ACT,TCKL,57,2,0,1,TEN
MLB,58,"Worrilow, Paul",ACT,TCKL,21,0,0,--,DET
OLB,50,"Wright, K.J.",ACT,TCKL,126,4,1,--,SEA
ILB,58,"Wright, Scooby",ACT,TCKL,2,0,0,0,ARI
OLB,97,"Young, Willie",ACT,TCKL,38,7.5,1,--,CHI
OLB,51,"Zombo, Frank",ACT,TCKL,41,1,1,--,KC
