Pos,Num,Player Name,Status,TCKL,SCK,FF,INT,Team
SS,20,"Coleman, Kurt",ACT,95,1,1,4,CAR
CB,38,"Coleman, Xavier",ACT,--,--,--,--,NYJ
CB,32,"Collins, Jalen",ACT,31,0,0,2,ATL
SS,21,"Collins, Landon",ACT,125,4,0,5,NYG
CB,22,"Colvin, Aaron",ACT,22,1,0,--,JAX
CB,2,"Conley, Gareon",ACT,--,--,--,--,OAK
SS,23,"Conte, Chris",ACT,69,0,0,2,TB
DB,25,"Cooper, Marcus",ACT,69,0,0,4,CHI
CB,24,"Countess, Blake",ACT,20,1,0,--,LA
DB,37,"Cox, Demetrious",ACT,--,--,--,--,CIN
CB,,"Cox, Perrish",UFA,42,0,0,3,SEA
CB,46,"Crawley, Ken",ACT,43,0,1,--,NO
DB,43,"Cromartie, Marcus",ACT,5,0,0,--,SEA
DB,36,"Currie, Justin",ACT,--,--,--,--,CLE
SS,37,"Cyprien, Johnathan",ACT,127,1,1,--,TEN
SS,37,"Dangerfield, Jordan",ACT,16,0,0,--,PIT
DB,31,"Daniel, Robertson",ACT,0,--,--,--,BAL
CB,28,"Darby, Ronald",ACT,69,0,0,--,BUF
FS,38,"Davis, Cody",ACT,14,0,0,1,LA
CB,43,"Davis, Michael",ACT,--,--,--,--,LAC
SS,28,"Davis, Sean",ACT,70,1.5,0,1,PIT
CB,21,"Davis, Vontae",ACT,37,0,0,1,IND
DB,4,"Davis, Will",ACT,4,0,0,1,SF
DB,38,"Deayon, Donte",ACT,--,--,--,--,NYG
CB,31,"Decoud, Treston",ACT,--,--,--,--,HOU
SS,21,"Demps, Quintin",ACT,55,0,1,6,CHI
CB,21,"Dennard, Darqueze",ACT,47,0,0,--,CIN
DB,28,"Desir, Pierre",ACT,3,0,0,--,SEA
CB,28,"Diggs, Quandre",ACT,44,0,1,--,DET
SAF,20,"Dillon, K.J.",ACT,5,0,0,--,HOU
DB,35,"Dixon, Brandon",ACT,--,--,--,--,PIT
DB,41,"Dixon, Brian",ACT,2,0,0,0,JAX
DB,30,"Dixon, Travell",ACT,1,0,0,--,CAR
CB,37,"Doss, Lorenzo",ACT,4,0,0,--,DEN
CB,32,"Douglas, Rasul",ACT,--,--,--,--,PHI
FS,23,"Drummond, Kurtis",ACT,--,--,--,--,HOU
DB,38,"Ducre, Greg",ACT,--,--,--,--,PIT
CB,47,"Dunbar, Quinton",ACT,26,1,0,1,WAS
DB,40,"Durden, Kenneth",ACT,--,--,--,--,OAK
DB,43,"Ebner, Nate",ACT,19,0,1,--,NE
SS,33,"Elam, Matt",UFA,4,0,0,--,BAL
CB,35,"Elder, Corn",ACT,--,--,--,--,CAR
CB,21,"Elliott, DeAndre",ACT,8,0,0,--,SEA
DB,35,"Elliott, Javien",ACT,10,0,0,--,TB
DB,36,"Elston, Trae",ACT,0,--,--,--,BUF
DB,39,"Evans, Josh",ACT,1,0,0,--,WAS
SAF,21,"Evans, Justin",ACT,--,--,--,--,TB
DB,25,"Evans, Marwin",ACT,6,0,0,--,GB
CB,41,"Evans, Randall",ACT,--,--,--,--,LAC
CB,22,"Everett, Deshazor",ACT,11,0,0,1,WAS
CB,32,"Exum, Antone",ACT,--,--,--,--,MIN
DB,41,"Farley, Matthias",ACT,11,0,0,--,IND
SAF,42,"Fejedelem, Clayton",ACT,10,0,0,--,CIN
DB,30,"Fleming, Maurice",ACT,--,--,--,--,TB
CB,24,"Flowers, Brandon",UFA,28,0,0,1,LAC
CB,30,"Ford, Rudy",ACT,--,--,--,--,ARI
DB,42,"Foster, Otha",ACT,--,--,--,--,BAL
DB,31,"Franklin, Zach",ACT,--,--,--,--,SF
SS,35,"Frazier, Kavon",ACT,6,0,0,--,DAL
CB,29,"Fuller, Kendall",ACT,42,0,0,--,WAS
CB,23,"Fuller, Kyle",ACT,0,--,--,--,CHI
CB,33,"Gaines, E.J.",ACT,56,0,1,--,LA
CB,23,"Gaines, Phillip",ACT,44,0,2,1,KC
DB,47,"Gallon, Ironhead",ACT,--,--,--,--,ARI
SAF,37,"Gary, Shamiel",ACT,1,0,0,--,BUF
CB,22,"Gay, William",ACT,58,1,1,1,PIT
FS,26,"Geathers, Clayton",ACT,59,0,1,--,IND
FS,21,"Gilchrist, Marcus",UFA,55,0,1,2,NYJ
CB,24,"Gilmore, Stephon",ACT,48,0,0,5,NE
FS,39,"Gipson, Tashaun",ACT,41,0,0,1,JAX
DB,35,"Goforth, Randall",ACT,--,--,--,--,PHI
SS,21,"Golden, Robert",ACT,34,0,0,--,PIT
DB,,"Goldson, Dashon",UFA,1,0,0,--,ATL
CB,27,"Golson, Senquez",ACT,0,--,--,--,PIT
CB,39,"Goodson, Demetri",ACT,14,0,0,--,GB
CB,29,"Goodwin, C.J.",ACT,17,0,0,--,ATL
FS,20,"Graham, Corey",UFA,87,1,0,1,BUF
DB,42,"Graham, Tyson",ACT,--,--,--,--,IND
CB,26,"Grant, Doran",ACT,--,--,--,--,JAX
CB,36,"Gratz, Dwayne",ACT,5,0,0,0,PHI
DB,25,"Gray, Daniel",ACT,--,--,--,--,ARI
DB,34,"Gray, Alex",ACT,--,--,--,--,TB
DB,,"Green, John",RES,--,--,--,--,TEN
FS,32,"Green, T.J.",ACT,43,0,0,--,IND
FS,22,"Griffin, Michael",UFA,40,0,0,--,CAR
DB,26,"Griffin, Shaquill",ACT,--,--,--,--,SEA
CB,24,"Grimes, Brent",ACT,57,0,1,4,TB
DB,38,"Grymes, Aaron",ACT,0,--,--,--,PHI
CB,36,"Gunter, LaDarius",ACT,54,0,2,--,GB
CB,23,"Haden, Joe",ACT,48,0,0,3,CLE
DB,42,"Hagen, Jacob",ACT,--,--,--,--,PIT
CB,27,"Hairston, Nate",ACT,--,--,--,--,IND
FS,29,"Hal, Andre",ACT,48,1,0,2,HOU
FS,23,"Hall, DeAngelo",ACT,16,0,0,--,WAS
CB,32,"Hall, Deiondre'",ACT,9,0,0,1,CHI
DB,25,"Hall, Leon",UFA,31,2,1,1,NYG
DB,32,"Hamilton, Antonio",ACT,4,0,0,--,OAK
CB,28,"Hargreaves, Vernon",ACT,76,0,1,1,TB
FS,30,"Harmon, Duron",ACT,29,0,1,1,NE
DB,41,"Harmon, J.D.",ACT,--,--,--,--,CLE
DB,35,"Harper, Jarrod",ACT,--,--,--,--,JAX
SS,41,"Harper, Roman",UFA,29,0,0,--,NO
FS,41,"Harris, Anthony",ACT,41,0,0,--,MIN
CB,25,"Harris, Chris",ACT,63,0,1,2,DEN
DB,59,"Harris, Connor",ACT,--,--,--,--,NYJ
CB,21,"Harris, De'Vante",ACT,12,0,0,--,NO
DB,30,"Harris, Erik",ACT,1,0,0,--,NO
DB,47,"Hartfield, Trevon",ACT,0,--,--,--,KC
DB,36,"Hatfield, Dominique",ACT,--,--,--,--,LA
CB,28,"Hawkins, Josh",ACT,5,0,0,--,GB
DB,31,"Hayden, D.J.",ACT,37,0,1,--,DET
